,Datetime,Open,High,Low,Close,Volume,Return,Ticker
0,2023-05-01 16:30:00+00:00,169.98500061035156,170.4499969482422,169.98500061035156,170.13999938964844,5044388,0.0009706914558504,AAPL
1,2023-05-01 17:30:00+00:00,170.1300048828125,170.41000366210938,169.82000732421875,169.91990661621094,3838143,-0.0012935980617553,AAPL
2,2023-05-01 18:30:00+00:00,169.89999389648438,169.9600067138672,169.1999969482422,169.6909942626953,5042479,-0.001347177962101,AAPL
3,2023-05-01 19:30:00+00:00,169.6999969482422,169.89999389648438,169.25,169.55999755859375,5100536,-0.000771972046429,AAPL
5,2023-05-02 14:30:00+00:00,168.66990661621094,168.72999572753906,167.6999969482422,167.81689453125,7632086,-0.0039949607690016,AAPL
6,2023-05-02 15:30:00+00:00,167.82000732421875,168.2299041748047,167.5399932861328,168.110107421875,5390529,0.001747219142888,AAPL
7,2023-05-02 16:30:00+00:00,168.11000061035156,168.92990112304688,168.085205078125,168.80999755859375,4457949,0.0041632840966685,AAPL
8,2023-05-02 17:30:00+00:00,168.8000030517578,168.9499969482422,168.34500122070312,168.47000122070312,3490502,-0.0020140770262887,AAPL
9,2023-05-02 18:30:00+00:00,168.47000122070312,169.27999877929688,168.4600067138672,168.96499633789062,4149482,0.002938179578565,AAPL
10,2023-05-02 19:30:00+00:00,168.97000122070312,168.97999572753906,168.38999938964844,168.5500030517578,4533993,-0.0024560902857235,AAPL
12,2023-05-03 14:30:00+00:00,170.0800018310547,170.27999877929688,169.17999267578125,169.30499267578125,5450759,-0.0045572688289792,AAPL
13,2023-05-03 15:30:00+00:00,169.30999755859375,169.9499969482422,169.22999572753906,169.6999969482422,3962052,0.0023330928770504,AAPL
14,2023-05-03 16:30:00+00:00,169.7100067138672,170.2899932861328,169.57000732421875,170.16000366210938,4108514,0.0027107054928674,AAPL
15,2023-05-03 17:30:00+00:00,170.15989685058594,170.60000610351562,169.3699951171875,170.2449951171875,5903150,0.0004994796265218,AAPL
17,2023-05-03 19:30:00+00:00,168.13999938964844,168.2198944091797,167.16000366210938,167.4600067138672,6914097,-0.0041034029596335,AAPL
20,2023-05-04 15:30:00+00:00,165.94000244140625,166.22999572753906,165.42999267578125,166.2100067138672,5049232,0.0016573306374161,AAPL
21,2023-05-04 16:30:00+00:00,166.2100067138672,167.0399932861328,165.9499969482422,166.672607421875,5244652,0.0027832301866408,AAPL
22,2023-05-04 17:30:00+00:00,166.6750030517578,166.90499877929688,165.51010131835938,165.53280639648438,5400963,-0.0068385623949928,AAPL
23,2023-05-04 18:30:00+00:00,165.52999877929688,165.97000122070312,165.0800018310547,165.67340087890625,7567595,0.0008493451267002,AAPL
28,2023-05-05 16:30:00+00:00,173.26499938964844,173.63999938964844,173.2100067138672,173.63999938964844,8365498,0.0021932638512089,AAPL
29,2023-05-05 17:30:00+00:00,173.64500427246094,174.09249877929688,173.64239501953125,174.0800018310547,7436685,0.0025339924150706,AAPL
31,2023-05-05 19:30:00+00:00,173.7449951171875,174.0,173.35000610351562,173.5850067138672,7919161,-0.0009208230902559,AAPL
33,2023-05-08 14:30:00+00:00,173.3699951171875,173.6300048828125,172.7200927734375,173.22059631347656,7348273,-0.0008041318434713,AAPL
34,2023-05-08 15:30:00+00:00,173.22999572753906,173.82000732421875,173.14999389648438,173.7449951171875,4562793,0.0030273467178345,AAPL
35,2023-05-08 16:30:00+00:00,173.75,173.77000427246094,173.35000610351562,173.6300048828125,3478646,-0.0006618333627247,AAPL
36,2023-05-08 17:30:00+00:00,173.63999938964844,173.85000610351562,172.9600067138672,173.5998992919922,4800282,-0.0001733893334889,AAPL
37,2023-05-08 18:30:00+00:00,173.59500122070312,173.8000030517578,173.2100067138672,173.40499877929688,4103527,-0.0011226994571436,AAPL
38,2023-05-08 19:30:00+00:00,173.39999389648438,173.67999267578125,173.3699951171875,173.52499389648438,4325310,0.0006919934144471,AAPL
40,2023-05-09 14:30:00+00:00,172.52999877929688,172.61500549316406,172.14500427246094,172.2803955078125,5289924,-0.0013888752533881,AAPL
41,2023-05-09 15:30:00+00:00,172.2899932861328,172.39990234375,171.80999755859375,172.05909729003906,4358537,-0.0012845235067004,AAPL
42,2023-05-09 16:30:00+00:00,172.05499267578125,172.47999572753906,172.02000427246094,172.2050018310547,3808782,0.0008479908549658,AAPL
43,2023-05-09 17:30:00+00:00,172.2100067138672,172.3397979736328,171.9600067138672,172.27000427246094,3038422,0.00037747127386,AAPL
44,2023-05-09 18:30:00+00:00,172.27000427246094,172.35760498046875,171.85000610351562,171.96499633789062,3458267,-0.0017705225924758,AAPL
45,2023-05-09 19:30:00+00:00,171.97000122070312,172.23500061035156,171.60000610351562,171.77999877929688,6242059,-0.0010757861340005,AAPL
47,2023-05-10 14:30:00+00:00,173.05189514160156,173.4199981689453,172.2899932861328,173.29010009765625,6608451,0.0013874431763323,AAPL
48,2023-05-10 15:30:00+00:00,173.3000030517578,173.8300018310547,172.7899932861328,173.17750549316406,5283039,-0.0006497463180454,AAPL
49,2023-05-10 16:30:00+00:00,173.17210388183594,173.3000030517578,171.97999572753906,172.02999877929688,4412739,-0.0066261880294405,AAPL
50,2023-05-10 17:30:00+00:00,172.02000427246094,172.83999633789062,171.89999389648438,172.6199951171875,4067612,0.0034296131028144,AAPL
51,2023-05-10 18:30:00+00:00,172.625,173.83999633789062,172.61000061035156,173.6300048828125,6304643,0.0058510589398368,AAPL
52,2023-05-10 19:30:00+00:00,173.63999938964844,173.91000366210938,173.33999633789062,173.55499267578125,5349524,-0.0004320232962147,AAPL
54,2023-05-11 14:30:00+00:00,172.6699981689453,173.6999969482422,172.3000030517578,173.6999969482422,6827208,0.0059651288018727,AAPL
55,2023-05-11 15:30:00+00:00,173.69500732421875,173.9149932861328,173.25999450683594,173.66000366210938,5325734,-0.000230243447527,AAPL
56,2023-05-11 16:30:00+00:00,173.6699981689453,174.02499389648438,173.3800048828125,173.47000122070312,4415832,-0.0010941059391886,AAPL
57,2023-05-11 17:30:00+00:00,173.47000122070312,174.0,173.05999755859375,173.99009704589844,4089255,0.0029981888599492,AAPL
58,2023-05-11 18:30:00+00:00,173.99989318847656,174.58999633789062,173.86000061035156,174.08999633789062,6007254,0.0005741665398681,AAPL
59,2023-05-11 19:30:00+00:00,174.0749969482422,174.14999389648438,173.5,173.80999755859375,4250305,-0.0016083565120733,AAPL
61,2023-05-12 14:30:00+00:00,172.69000244140625,172.97500610351562,172.3300018310547,172.47999572753906,5603315,-0.0012160907458348,AAPL
62,2023-05-12 15:30:00+00:00,172.48500061035156,172.72000122070312,171.92999267578125,171.94500732421875,4830042,-0.0031017417472888,AAPL
