Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Makanan Minuman Jadi Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Tapanuli Utara,27957,291,1198,825,800,1973,75,234,515,4620,733,42,1656,225,66,857,2705,174,1884,134,104,176,80,201,790,125,84,69,178,3343,362,133,3304
Toba Samosir,45111,217,1435,1161,910,2906,139,397,424,4580,1128,1552,1371,427,580,1155,6580,344,1880,1494,3071,408,199,484,1370,207,273,402,510,3957,588,132,4827
Labuhan Batu,41792,346,1325,1503,2018,3468,204,331,674,3209,2141,700,2614,673,568,647,5704,684,2372,899,513,736,205,1038,656,375,1545,463,690,3089,1090,1069,243
Asahan,42309,409,1510,1140,1490,3278,200,246,604,7394,1577,349,2134,719,566,429,5003,472,3450,909,911,677,42,690,1298,205,1331,249,269,2313,1009,1386,50
Simalungun,37361,446,1812,797,1314,2901,40,402,542,4072,1019,446,3014,412,563,443,4706,323,1731,461,868,753,71,972,724,230,142,346,415,4698,769,891,1038
Dairi,31465,364,1173,706,870,1990,88,438,479,6505,924,188,783,244,280,727,3708,261,1794,146,237,332,126,868,747,505,99,371,324,3058,729,379,2023
Karo,68603,733,3935,1269,2106,3944,127,1162,786,8456,1895,498,3423,496,438,829,5315,509,2948,1387,1063,1100,542,1601,765,312,377,496,545,19351,1150,441,605
Deli Serdang,43015,371,1707,981,1153,2393,171,561,607,6636,1777,243,2608,531,853,716,4626,336,1942,606,856,1063,229,753,1541,317,2436,583,360,3392,999,1636,33
Langkat,38822,330,1405,955,1047,2608,127,455,623,5277,1691,245,2425,399,681,686,4655,285,2370,384,820,1015,39,1932,437,470,1684,411,429,2709,981,1131,115
Nias Selatan,16781,146,788,322,2490,1569,16,72,20,31,698,1070,217,30,337,13,2217,1083,574,547,267,71,26,23,164,422,526,624,296,1353,279,236,254
Humbang Hasundutan,29576,290,1140,1049,718,2061,33,161,639,4577,547,198,933,194,52,511,3415,212,3208,317,435,167,61,65,702,85,94,88,224,3355,515,65,3463
Pakpak Bharat,30471,530,731,1237,870,2042,31,157,174,5665,519,47,686,77,211,628,3677,270,3457,145,383,47,14,544,589,403,70,62,449,3361,716,297,2383
Samosir,43460,265,1656,1765,861,2796,118,525,130,6651,1049,673,545,86,325,517,5622,557,2645,666,1843,512,47,235,1351,471,730,316,373,4203,634,170,5125
Serdang Bedagai,39055,201,1693,1004,1141,2709,52,320,759,4313,1119,543,3069,257,1439,571,4471,197,2407,603,1406,1190,39,753,1953,198,1064,355,286,2528,908,1094,412
Batu Bara,35975,206,1403,800,958,2815,174,321,457,2825,1580,119,2900,186,810,527,4759,384,2870,488,753,1269,78,872,1128,351,1414,243,295,2612,837,1459,82
Padang Lawas Utara,36005,239,1415,986,1075,4121,79,104,1717,2671,705,215,1953,362,46,1306,3267,696,3373,161,60,350,21,378,415,196,693,260,440,6424,1073,1192,8
Padang Lawas,44598,138,1450,956,1369,4926,83,403,2007,1001,1395,375,2667,556,530,1853,3968,749,4464,360,493,1227,37,739,279,207,1076,392,578,7807,827,1669,16
Labuhan Batu Selatan,36215,326,1173,593,1265,3247,52,423,678,3326,1866,319,2467,393,768,609,5397,579,2460,184,457,990,84,550,654,342,1269,480,396,2639,1011,1160,60
Labuhan Batu Utara,39627,294,1113,1022,1482,3518,87,389,634,5846,1803,189,2111,451,279,198,5417,551,3099,99,637,1648,16,410,485,245,1306,266,473,3146,813,1353,246
Nias Utara,11155,35,205,147,1657,987,12,197,-,94,323,72,226,92,224,51,1488,493,939,124,46,-,6,16,31,251,1501,269,266,1007,231,56,112
Nias Barat,11524,57,523,272,854,1100,85,42,1,13,373,467,67,28,14,-,1188,492,736,147,651,185,33,1,142,77,597,226,671,2186,165,84,45
Kota Sibolga,65785,313,1915,1080,1582,2816,152,569,532,19931,3181,284,6301,498,492,3273,5218,201,2211,2053,1390,1544,247,854,487,334,767,446,478,4443,1107,942,145
Kota Tanjung Balai,56760,321,1775,1876,1563,2691,333,1369,1061,10357,3868,111,4172,711,839,1200,3605,1373,3014,840,566,1102,694,959,910,369,2229,452,710,4635,1145,1862,49
Kota Pematang Siantar,45867,742,1976,1735,1271,2053,119,1370,661,7486,1625,216,3816,530,705,639,6140,286,1814,1529,1207,582,290,822,1214,197,226,357,555,3442,1082,697,482
Kota Tebing Tinggi,67756,443,2450,1597,1779,2662,143,900,1038,7935,3864,445,6797,1120,2433,1951,5068,322,3378,3987,2326,1805,580,2986,937,698,2542,451,974,3505,1483,1102,55
Kota Medan,70722,1267,2692,2150,2080,2556,295,1368,1251,6898,3329,493,6376,1648,1170,2069,6629,693,3100,1639,2833,1231,1581,1331,1606,530,3830,944,1273,4595,1548,1589,128
Kota Binjai,56516,632,2238,1326,1466,2447,78,690,903,4300,3872,266,5805,898,1117,2221,7884,534,2324,993,1589,1537,533,1345,779,286,2951,352,456,4221,1263,1212,0
Kota Padangsidimpuan,51322,239,1673,1219,1835,4414,400,1448,1256,2839,1864,1367,3407,914,921,1601,3554,428,4023,1289,2463,1769,194,1256,1220,340,778,392,628,5806,957,797,30
Kota Gunungsitoli,20486,134,535,261,2046,1499,40,259,180,1237,1433,169,1226,138,178,319,2575,538,957,339,160,29,133,269,63,434,1890,485,627,1401,462,287,185
Kepulauan Mentawai,30955,487,1622,1750,949,2845,377,176,148,1242,918,227,4252,673,18,849,1313,541,3615,508,462,13,110,26,236,202,1246,838,535,2980,188,1575,32
Pesisir Selatan,40369,188,2195,1015,991,3147,157,650,3700,2438,2518,174,5828,706,126,2733,2031,330,2417,389,734,1451,67,595,181,303,1439,271,221,1464,1039,873,-
Solok,46327,165,2476,2089,779,4930,188,825,895,5065,2317,260,6356,331,158,2121,3160,319,4809,210,785,1507,103,777,421,286,868,196,455,1671,993,811,-
Sijunjung,46767,111,1995,798,480,3455,45,607,875,5471,4493,93,3864,529,56,3658,4112,582,3922,394,1162,1120,70,573,1032,408,1845,549,462,1499,1130,1370,9
Tanah Datar,51506,438,2487,1920,1500,3985,58,446,1434,6628,2860,479,5291,862,308,2994,3372,381,4101,245,1392,1628,233,714,876,265,985,539,426,2693,1301,663,-
Padang Pariaman,54473,277,1993,1352,669,3332,59,809,987,9294,2685,260,9424,423,145,2605,2155,276,4154,1512,1137,792,165,940,376,302,1155,597,534,3700,1094,1271,-
Agam,43863,445,2482,1072,867,3278,195,620,653,4607,2684,1085,4866,916,373,2305,2507,349,2549,1221,1944,742,186,1046,553,340,969,514,230,2784,933,548,-
Lima Puluh Kota,56788,269,3388,1460,1782,4486,103,657,846,4238,4919,1384,6018,692,301,4075,3455,647,4686,131,1140,2021,67,479,478,157,909,1251,428,4328,1496,496,-
Pasaman,45939,259,2692,948,971,4269,110,691,1550,7849,2228,43,4330,505,178,2883,2469,256,3899,240,436,1071,35,722,697,255,1059,308,271,3136,925,646,7
Solok Selatan,47698,306,2191,932,694,4266,131,399,1645,5656,3227,80,3494,420,132,6123,3680,417,4659,4,604,1661,91,799,838,127,995,846,424,880,1224,714,39
Dharmasraya,58226,123,1930,1635,746,3581,276,333,1500,6249,3686,729,2841,532,724,4515,5937,238,5363,629,2990,2113,105,817,1112,562,1586,983,1219,2196,1360,1616,-
Pasaman Barat,43448,236,2096,721,874,4085,19,420,1320,2058,2629,188,4549,519,206,3976,3208,409,3718,294,843,939,46,654,626,311,973,452,350,4647,1031,1049,-
Kota Padang,77943,944,2355,1862,1145,3254,149,894,2330,14176,5171,223,9630,1286,306,3584,4185,608,2472,1475,3894,1103,657,978,1510,788,4217,947,998,3747,1540,1512,-
Kota Solok,64642,479,2915,1782,990,4599,81,689,1170,8902,5688,396,6086,1197,468,2632,5315,551,3136,771,2549,1890,431,1663,1200,447,2533,563,444,2453,1415,1209,-
Kota Sawah Lunto,60392,600,1716,1478,1426,4232,87,522,1411,9454,3662,685,4605,769,442,3469,4651,248,3499,1109,2473,1381,288,672,1051,692,2718,866,574,3203,1349,1059,-
Kota Padang Panjang,77341,895,3310,1986,2432,4395,403,963,1425,11536,4376,651,7211,1046,285,3949,4770,924,5676,968,4485,1334,718,1165,1918,557,1885,501,555,3370,2242,1413,-
Kota Bukittinggi,80381,1386,3304,2506,2128,4713,380,872,1949,15137,3990,193,6031,2322,525,2363,4826,496,4792,1475,4079,1132,878,1899,1728,1113,2192,859,896,3874,1385,956,-
Kota Payakumbuh,74600,747,3107,1546,1772,4248,347,1261,1649,10223,6838,436,6105,1884,1234,2760,5141,597,2948,1831,5057,2222,440,1246,1148,515,1308,689,934,3817,1430,1121,-
Kota Pariaman,78101,469,3458,1334,1301,3569,361,1655,3351,9523,4845,887,12365,1637,233,4364,4044,549,2235,2313,3548,855,395,1886,816,1182,1589,901,853,5342,1447,796,-
Kuantan Singingi,37991,375,889,303,1013,3156,62,292,420,3048,2516,177,4586,812,259,3543,2958,568,2020,223,509,1636,191,970,251,267,1888,490,411,2880,984,295,-
Indragiri Hulu,45620,316,1472,778,1268,3279,128,216,452,5488,1599,205,3617,647,225,2260,4254,260,4027,428,694,2662,357,669,583,244,2233,904,829,2823,1223,1440,39
